
Loading Cifar 10 Dataset...
Files already downloaded and verified
Files already downloaded and verified
Loaded Cifar 10!

========================================

Epoch [6/150] | Train iter [270/391] | acc_top1 = 21.87500 | acc_top5 = 71.09375 | loss = 2.28455
Epoch [6/150] | Train iter [320/391] | acc_top1 = 24.21875 | acc_top5 = 66.40625 | loss = 2.28405
Epoch [6/150] | Train iter [370/391] | acc_top1 = 17.96875 | acc_top5 = 71.09375 | loss = 2.28362
Epoch [6/150] | Train iter [391/391] | acc_top1 = 23.75000 | acc_top5 = 65.00000 | loss = 2.28341

Epoch [6/150] | Validation | acc_top1 = 22.49802 | acc_top5 = 73.01227 | loss = 2.30569

========================================

Epoch [7/150] | Train iter [20/391] | acc_top1 = 19.53125 | acc_top5 = 61.71875 | loss = 2.28159
Epoch [7/150] | Train iter [70/391] | acc_top1 = 16.40625 | acc_top5 = 72.65625 | loss = 2.27924
Epoch [7/150] | Train iter [120/391] | acc_top1 = 17.18750 | acc_top5 = 67.96875 | loss = 2.27850
Epoch [7/150] | Train iter [170/391] | acc_top1 = 21.09375 | acc_top5 = 65.62500 | loss = 2.27751
Epoch [7/150] | Train iter [220/391] | acc_top1 = 20.31250 | acc_top5 = 69.53125 | loss = 2.27680
Epoch [7/150] | Train iter [270/391] | acc_top1 = 21.09375 | acc_top5 = 71.09375 | loss = 2.27610
Epoch [7/150] | Train iter [320/391] | acc_top1 = 22.65625 | acc_top5 = 71.87500 | loss = 2.27539
Epoch [7/150] | Train iter [370/391] | acc_top1 = 15.62500 | acc_top5 = 56.25000 | loss = 2.27475
Epoch [7/150] | Train iter [391/391] | acc_top1 = 21.25000 | acc_top5 = 67.50000 | loss = 2.27452

Epoch [7/150] | Validation | acc_top1 = 22.01345 | acc_top5 = 75.34612 | loss = 2.29400

========================================

Epoch [8/150] | Train iter [20/391] | acc_top1 = 27.34375 | acc_top5 = 75.78125 | loss = 2.27028
Epoch [8/150] | Train iter [70/391] | acc_top1 = 26.56250 | acc_top5 = 78.12500 | loss = 2.27024
Epoch [8/150] | Train iter [120/391] | acc_top1 = 21.09375 | acc_top5 = 75.00000 | loss = 2.26905
Epoch [8/150] | Train iter [170/391] | acc_top1 = 28.12500 | acc_top5 = 70.31250 | loss = 2.26778
Epoch [8/150] | Train iter [220/391] | acc_top1 = 20.31250 | acc_top5 = 66.40625 | loss = 2.26717
Epoch [8/150] | Train iter [270/391] | acc_top1 = 18.75000 | acc_top5 = 65.62500 | loss = 2.26642
Epoch [8/150] | Train iter [320/391] | acc_top1 = 21.09375 | acc_top5 = 68.75000 | loss = 2.26559
Epoch [8/150] | Train iter [370/391] | acc_top1 = 19.53125 | acc_top5 = 67.96875 | loss = 2.26497
Epoch [8/150] | Train iter [391/391] | acc_top1 = 17.50000 | acc_top5 = 73.75000 | loss = 2.26445

Epoch [8/150] | Validation | acc_top1 = 22.13212 | acc_top5 = 77.86788 | loss = 2.28179

========================================

Epoch [9/150] | Train iter [20/391] | acc_top1 = 30.46875 | acc_top5 = 77.34375 | loss = 2.26015
Epoch [9/150] | Train iter [70/391] | acc_top1 = 17.96875 | acc_top5 = 71.09375 | loss = 2.25834
Epoch [9/150] | Train iter [120/391] | acc_top1 = 20.31250 | acc_top5 = 69.53125 | loss = 2.25761
Epoch [9/150] | Train iter [170/391] | acc_top1 = 21.87500 | acc_top5 = 71.09375 | loss = 2.25612
Epoch [9/150] | Train iter [220/391] | acc_top1 = 17.96875 | acc_top5 = 69.53125 | loss = 2.25511
